,fields,query_type,hits@10,hits@5,hits@3,hits@1
0,['text'],cross_fields,0.9402173913043478,0.8641304347826086,0.8043478260869565,0.6032608695652174
1,['text'],most_fields,0.9402173913043478,0.8641304347826086,0.8043478260869565,0.6032608695652174
2,['text'],best_fields,0.9402173913043478,0.8641304347826086,0.8043478260869565,0.6032608695652174
3,['text_phonemes'],cross_fields,0.8641304347826086,0.8043478260869565,0.7336956521739131,0.5217391304347826
4,['text_phonemes'],most_fields,0.8641304347826086,0.8043478260869565,0.7336956521739131,0.5217391304347826
5,['text_phonemes'],best_fields,0.8641304347826086,0.8043478260869565,0.7336956521739131,0.5217391304347826
6,['text_phonemes_no_replacement'],cross_fields,0.8478260869565217,0.7717391304347826,0.7010869565217391,0.5054347826086957
7,['text_phonemes_no_replacement'],most_fields,0.8478260869565217,0.7717391304347826,0.7010869565217391,0.5054347826086957
8,['text_phonemes_no_replacement'],best_fields,0.8478260869565217,0.7717391304347826,0.7010869565217391,0.5054347826086957
9,['title'],cross_fields,0.08152173913043478,0.03260869565217391,0.021739130434782608,0.016304347826086956
10,['title'],most_fields,0.08152173913043478,0.03260869565217391,0.021739130434782608,0.016304347826086956
11,['title'],best_fields,0.08152173913043478,0.03260869565217391,0.021739130434782608,0.016304347826086956
12,"['text', 'text_phonemes']",cross_fields,0.9239130434782609,0.8695652173913043,0.8043478260869565,0.5815217391304348
13,"['text', 'text_phonemes']",most_fields,0.9293478260869565,0.875,0.8043478260869565,0.6141304347826086
14,"['text', 'text_phonemes']",best_fields,0.9239130434782609,0.8695652173913043,0.8043478260869565,0.5815217391304348
15,"['text', 'text_phonemes_no_replacement']",cross_fields,0.9130434782608695,0.8315217391304348,0.7663043478260869,0.5652173913043478
16,"['text', 'text_phonemes_no_replacement']",most_fields,0.9184782608695652,0.842391304347826,0.7771739130434783,0.5869565217391305
17,"['text', 'text_phonemes_no_replacement']",best_fields,0.9130434782608695,0.8315217391304348,0.7663043478260869,0.5652173913043478
18,"['text_phonemes', 'text', 'title']",cross_fields,0.9239130434782609,0.875,0.8097826086956522,0.5869565217391305
19,"['text_phonemes', 'text', 'title']",most_fields,0.9347826086956522,0.875,0.7989130434782609,0.6032608695652174
20,"['text_phonemes', 'text', 'title']",best_fields,0.9239130434782609,0.8695652173913043,0.8043478260869565,0.5815217391304348
21,"['text_phonemes', 'text^2.0', 'title']",cross_fields,0.9402173913043478,0.8641304347826086,0.7989130434782609,0.6086956521739131
22,"['text_phonemes', 'text^2.0', 'title']",most_fields,0.9402173913043478,0.8858695652173914,0.7989130434782609,0.6086956521739131
23,"['text_phonemes', 'text^2.0', 'title']",best_fields,0.9402173913043478,0.8641304347826086,0.7989130434782609,0.6032608695652174
24,"['text_phonemes_no_replacement', 'text', 'title']",cross_fields,0.907608695652174,0.842391304347826,0.7608695652173914,0.5543478260869565
25,"['text_phonemes_no_replacement', 'text', 'title']",most_fields,0.9184782608695652,0.8478260869565217,0.7880434782608695,0.5869565217391305
26,"['text_phonemes_no_replacement', 'text', 'title']",best_fields,0.9130434782608695,0.8315217391304348,0.7663043478260869,0.5652173913043478
27,"['text_phonemes_no_replacement', 'text^2.0', 'title']",cross_fields,0.9402173913043478,0.8695652173913043,0.8043478260869565,0.6086956521739131
28,"['text_phonemes_no_replacement', 'text^2.0', 'title']",most_fields,0.9239130434782609,0.8586956521739131,0.7989130434782609,0.5978260869565217
29,"['text_phonemes_no_replacement', 'text^2.0', 'title']",best_fields,0.9402173913043478,0.8695652173913043,0.8043478260869565,0.6032608695652174
